amazon_order_id,merchant_order_id,purchase_d,ate,last_updated_date,order_status,fulfillment_channel,sales_channel,product_name,sku,asin,quantity,currency,item_price,item_tax,shipping_price,shipping_tax,item_promotion_discount,ship_promotion_discount,ship_city,ship_state,ship_postal_code,ship_country,passport_sku,week,passport_week,purchase_ts,item_price_total
111-3244433-1760258,111-3244433-1760258,2025-10-31 00:00:00,T17:32:21+00:00,2025-11-03T07:04:26+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Mineral Face Sunscreen Stick, SPF 50, Natural Zinc Oxide, Unscented, Hypoallergenic & Dermat Tested, Water-Resistant, Vegan, Sensitive Skin",USP103,B0DNRLX255,3,USD,22.489999999999995,2.85,0.99,0.16,13.49,0.99,OKLAHOMA CITY,OK,73130-4329,US,USP103,2025-10-27/2025-11-02,USP103_October/2025,2025-10-31 17:32:21+00:00,134.91
113-8857813-3649021,113-8857813-3649021,2025-10-31 00:00:00,T17:19:32+00:00,2025-11-01T02:58:12+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.24,0.43,0.16,1.8,0.43,PFLUGERVILLE,TX,78660-7814,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 17:19:32+00:00,14.99
113-2388686-9076209,113-2388686-9076209,2025-10-31 00:00:00,T16:58:10+00:00,2025-11-01T06:03:05+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.09,0.99,0.16,4.5,0.99,Seattle,WA,98103,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 16:58:10+00:00,14.99
113-9009799-6737825,113-9009799-6737825,2025-10-31 00:00:00,T14:34:40+00:00,2025-10-31T21:43:06+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,2,USD,22.489999999999995,2.5,2.99,0.16,3.0,2.99,OXNARD,CA,93036-1464,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-31 14:34:40+00:00,59.96
111-2881601-4049801,111-2881601-4049801,2025-10-31 00:00:00,T13:12:15+00:00,2025-11-01T02:12:58+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.91,0.33,0.16,1.5,0.33,GREENSBORO,NC,27405-8510,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-31 13:12:15+00:00,14.99
111-4421797-7048214,111-4421797-7048214,2025-10-31 00:00:00,T12:58:19+00:00,2025-11-01T00:58:02+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Lotion, Premium & Unscented, For Dry & Sensitive Skin, Hydrating Daily Cream - For Babies, Toddlers, Kids & Adults, Vegan, Hypoallergenic,",UBL101,B0DNRMZZM5,1,USD,16.99,1.01,0.99,0.16,1.7,0.99,HAMBURG,NJ,07419-1001,US,UBL101,2025-10-27/2025-11-02,UBL101_October/2025,2025-10-31 12:58:19+00:00,16.99
112-6282634-2974636,112-6282634-2974636,2025-10-31 00:00:00,T10:44:04+00:00,2025-10-31T18:15:53+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Lotion, Premium & Unscented, For Dry & Sensitive Skin, Hydrating Daily Cream - For Babies, Toddlers, Kids & Adults, Vegan, Hypoallergenic,",UBL101,B0DNRMZZM5,1,USD,16.99,1.19,0.43,0.16,1.8,0.43,HALTOM CITY,TX,76117-4935,US,UBL101,2025-10-27/2025-11-02,UBL101_October/2025,2025-10-31 10:44:04+00:00,16.99
114-3619480-9231462,114-3619480-9231462,2025-10-31 00:00:00,T09:31:06+00:00,2025-10-31T22:31:25+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,1,USD,14.99,1.2,2.38,0.16,1.8,2.38,Shatin,unknown,0,HK,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-31 09:31:06+00:00,14.99
112-7102723-8830662,112-7102723-8830662,2025-10-31 00:00:00,T03:26:59+00:00,2025-10-31T20:49:15+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,1,USD,14.99,1.2,0.99,0.16,1.8,0.99,BROOKLYN,NY,11223-5143,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-31 03:26:59+00:00,14.99
113-5513970-7667456,113-5513970-7667456,2025-10-31 00:00:00,T02:56:54+00:00,2025-10-31T23:52:15+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 30 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP101,B0DNRQPDCD,1,USD,17.99,1.2,0.99,0.16,1.8,0.99,ASTORIA,NY,11105-1330,US,USP101,2025-10-27/2025-11-02,USP101_October/2025,2025-10-31 02:56:54+00:00,17.99
111-8366160-6681859,111-8366160-6681859,2025-10-31 00:00:00,T02:19:13+00:00,2025-11-01T05:14:40+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Shampoo and Body Wash, Premium 2-in-1 For Babies, Toddlers & Kids, Unscented & Hypoallergenic - Gentle Baby Soap - Vegan, Hydrating For Sen",UBW101,B0DNRLVHB6,1,USD,16.99,1.18,0.99,0.16,1.7,0.99,SAN DIEGO,CA,92120-1109,US,UBW101,2025-10-27/2025-11-02,UBW101_October/2025,2025-10-31 02:19:13+00:00,16.99
114-4460677-5708233,114-4460677-5708233,2025-10-31 00:00:00,T01:48:08+00:00,2025-11-01T23:13:27+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 30 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP101,B0DNRQPDCD,1,USD,17.99,1.2,0.99,0.16,1.8,0.99,HERNDON,VA,20171-3342,US,USP101,2025-10-27/2025-11-02,USP101_October/2025,2025-10-31 01:48:08+00:00,17.99
114-0518228-0292201,114-0518228-0292201,2025-10-30 00:00:00,T23:45:30+00:00,2025-10-31T07:34:24+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.11,0.99,0.16,1.5,0.99,AURORA,IL,60502-6473,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 23:45:30+00:00,14.99
111-7103280-1729817,111-7103280-1729817,2025-10-30 00:00:00,T23:44:02+00:00,2025-11-01T11:28:25+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.31,0.99,0.16,1.8,0.99,MURRIETA,CA,92562-1906,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 23:44:02+00:00,14.99
112-1543307-5765858,112-1543307-5765858,2025-10-30 00:00:00,T23:35:48+00:00,2025-10-31T05:25:31+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.08,0.99,0.16,1.5,0.99,Oakbrook terrace,Illinois,60181,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 23:35:48+00:00,14.99
111-5090265-3878604,111-5090265-3878604,2025-10-30 00:00:00,T23:14:52+00:00,2025-10-31T10:43:31+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.17,0.99,0.16,1.5,0.99,TUCSON,AZ,85706-4778,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 23:14:52+00:00,14.99
112-3981047-9937821,112-3981047-9937821,2025-10-30 00:00:00,T22:38:01+00:00,2025-11-01T10:42:55+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Lotion, Premium & Unscented, For Dry & Sensitive Skin, Hydrating Daily Cream - For Babies, Toddlers, Kids & Adults, Vegan, Hypoallergenic,",UBL101,B0DNRMZZM5,1,USD,16.99,1.34,0.99,0.16,1.7,0.99,MENIFEE,CA,92584-4222,US,UBL101,2025-10-27/2025-11-02,UBL101_October/2025,2025-10-30 22:38:01+00:00,16.99
113-9603050-0516238,113-9603050-0516238,2025-10-30 00:00:00,T21:38:29+00:00,2025-10-31T04:57:44+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,2,USD,22.489999999999995,1.2,0.99,0.16,1.8,0.99,SAN ANTONIO,TX,78258-7584,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-30 21:38:29+00:00,59.96
114-2732852-1042634,114-2732852-1042634,2025-10-30 00:00:00,T20:28:45+00:00,2025-11-03T07:51:27+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.09,0.6,0.16,1.8,0.6,Richmond,Texas,77407,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 20:28:45+00:00,14.99
112-5171405-8137013,112-5171405-8137013,2025-10-30 00:00:00,T20:15:25+00:00,2025-10-31T20:00:25+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.97,0.99,0.16,1.8,0.99,FORT MYERS,FL,33916-4461,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 20:15:25+00:00,14.99
114-7293243-6923406,114-7293243-6923406,2025-10-30 00:00:00,T19:33:01+00:00,2025-10-31T22:07:41+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.82,0.99,0.16,1.8,0.99,LEWISTON,ME,04240-2454,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 19:33:01+00:00,14.99
114-5139871-7977014,114-5139871-7977014,2025-10-30 00:00:00,T19:02:18+00:00,2025-10-31T13:35:15+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,0.9,0.99,0.16,1.8,0.99,PHILADELPHIA,PA,19147,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 19:02:18+00:00,14.99
111-8341485-8721853,111-8341485-8721853,2025-10-30 00:00:00,T18:49:47+00:00,2025-10-31T20:55:39+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,1,USD,14.99,1.2,0.99,0.16,4.5,0.99,RAYLAND,OH,43943-7916,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-30 18:49:47+00:00,14.99
112-3321657-7326636,112-3321657-7326636,2025-10-30 00:00:00,T17:39:56+00:00,2025-10-31T05:55:08+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.11,0.99,0.16,1.5,0.99,HOUSTON,TX,77044-5328,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 17:39:56+00:00,14.99
112-3648076-8688231,112-3648076-8688231,2025-10-30 00:00:00,T17:23:40+00:00,2025-10-31T00:18:38+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.05,0.99,0.16,1.8,0.99,MIAMI BEACH,FL,33140-4531,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 17:23:40+00:00,14.99
111-9351805-7644200,111-9351805-7644200,2025-10-30 00:00:00,T14:35:04+00:00,2025-10-31T02:55:00+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,1,USD,14.99,1.2,1.49,0.16,3.0,1.49,DENTON,TX,76207-4711,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-30 14:35:04+00:00,14.99
111-0390022-3622648,111-0390022-3622648,2025-10-30 00:00:00,T14:25:51+00:00,2025-10-30T16:43:55+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.16,1.0,0.16,1.8,1.0,TOLEDO,OH,43615-2531,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 14:25:51+00:00,14.99
113-1853179-7783426,113-1853179-7783426,2025-10-30 00:00:00,T11:36:00+00:00,2025-10-31T10:23:00+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,1,USD,14.99,1.2,0.99,0.16,3.0,0.99,BOSSIER CITY,LA,71111-2252,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-30 11:36:00+00:00,14.99
114-6874026-8186656,114-6874026-8186656,2025-10-30 00:00:00,T10:46:04+00:00,2025-10-30T22:06:38+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.31,0.99,0.16,1.8,0.99,Middle Island,NY,11953,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 10:46:04+00:00,14.99
113-5939286-6065831,113-5939286-6065831,2025-10-30 00:00:00,T09:47:06+00:00,2025-11-02T16:28:06+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 50 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP102,B0DNRMBNJ4,1,USD,17.99,1.4,1.15,0.16,3.6,1.15,LOS ANGELES,CA,90057-1839,US,USP102,2025-10-27/2025-11-02,USP102_October/2025,2025-10-30 09:47:06+00:00,17.99
114-3787118-4207415,114-3787118-4207415,2025-10-30 00:00:00,T06:17:34+00:00,2025-10-30T20:01:36+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 50 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP102,B0DNRMBNJ4,1,USD,17.99,0.95,0.99,0.16,3.6,0.99,BAYONNE,NJ,07002-4474,US,USP102,2025-10-27/2025-11-02,USP102_October/2025,2025-10-30 06:17:34+00:00,17.99
111-2437499-6420205,111-2437499-6420205,2025-10-30 00:00:00,T04:24:50+00:00,2025-10-31T08:27:11+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,1,USD,14.99,1.17,0.99,0.16,3.0,0.99,NASHVILLE,TN,37203-1298,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-30 04:24:50+00:00,14.99
112-7185729-5069813,112-7185729-5069813,2025-10-30 00:00:00,T02:55:21+00:00,2025-10-30T07:57:18+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Diaper Rash Cream Spray - Fragrance-Free, No Touch & Mess-Free, Treats, Soothes & Prevents Diaper Rash, Zinc Oxide, Dermatologist Tested, V",UDC101,B0DNRLZ3LP,1,USD,14.99,1.12,0.99,0.16,1.8,0.99,OREM,UT,84057-2149,US,UDC101,2025-10-27/2025-11-02,UDC101_October/2025,2025-10-30 02:55:21+00:00,14.99
114-9256105-3553861,114-9256105-3553861,2025-10-30 00:00:00,T02:54:56+00:00,2025-10-30T06:43:43+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Lotion, Premium & Unscented, For Dry & Sensitive Skin, Hydrating Daily Cream - For Babies, Toddlers, Kids & Adults, Vegan, Hypoallergenic,",UBL101,B0DNRMZZM5,1,USD,16.99,1.02,0.99,0.16,1.8,0.99,PLYMOUTH,MI,48170-4597,US,UBL101,2025-10-27/2025-11-02,UBL101_October/2025,2025-10-30 02:54:56+00:00,16.99
113-0662609-6422610,113-0662609-6422610,2025-10-30 00:00:00,T02:35:45+00:00,2025-10-30T17:50:27+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 50 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP102,B0DNRMBNJ4,1,USD,17.99,1.34,0.99,0.16,1.8,0.99,SALT LAKE CITY,UT,84121-5599,US,USP102,2025-10-27/2025-11-02,USP102_October/2025,2025-10-30 02:35:45+00:00,17.99
111-5226890-5031441,111-5226890-5031441,2025-10-30 00:00:00,T01:59:31+00:00,2025-10-30T19:00:01+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Oil, All Natural, Premium & Unscented, Vegan - Made with Organic Avocado Oil, Coconut Oil, Dermatologist Tested, Soothing & Hydrating Baby",UB0101,B0DNNW7MFX,1,USD,14.99,1.33,0.99,0.16,1.8,0.99,BRONX,NY,10467-5012,US,UB0101,2025-10-27/2025-11-02,UB0101_October/2025,2025-10-30 01:59:31+00:00,14.99
114-2283671-5463466,114-2283671-5463466,2025-10-30 00:00:00,T00:59:59+00:00,2025-10-30T06:48:06+00:00,Shipped,Amazon,Amazon.com,"Bliss Baby Sunscreen, Premium SPF 50 Sunscreen Mineral Lotion, Natural Zinc Oxide, Hypoallergenic, Non-toxic, Water-Resistant, Vegan, Sensitive Skin -",USP102,B0DNRMBNJ4,2,USD,22.489999999999995,1.2,0.99,0.16,7.2,0.99,FORNEY,TX,75126-3578,US,USP102,2025-10-27/2025-11-02,USP102_October/2025,2025-10-30 00:59:59+00:00,71.96
